recorded_at,open_price,high_price,low_price,close_price,volume,rolling_mean,rolling_std,z_score,position,market_return,position_lag,gross_return,turnover,strategy_return,equity
2026-08-13 10:20:00,1313.4,1313.7,1312.6,1312.9,69292,1315.9950000000001,4.8469713821039395,-0.6385430727788971,-1,-0.00022844958879075783,-1.0,0.00022844958879075783,0.0,0.00022844958879075783,99573.55411659034
2026-08-13 10:25:00,1313.1,1313.1,1311.0,1311.2,72791,1315.4099999999999,4.672641538504196,-0.9009892938090671,-1,-0.0012948434762739547,-1.0,0.0012948434762739547,0.0,0.0012948434762739547,99702.48628354761
2026-08-13 10:30:00,1311.0,1311.9,1310.5,1310.9,79669,1314.895,4.567329635573258,-0.874690534461165,-1,-0.00022879804758990652,-1.0,0.00022879804758990652,0.0,0.00022879804758990652,99725.29801774914
2026-08-13 10:35:00,1310.9,1310.9,1310.2,1310.9,59609,1314.3600000000001,4.36268869294662,-0.7930889053793807,-1,0.0,-1.0,-0.0,0.0,-0.0,99725.29801774914
2026-08-13 10:40:00,1310.5,1311.3,1310.4,1311.3,67788,1313.92,4.193804954928767,-0.6247310087516026,-1,0.0003051338774886503,-1.0,-0.0003051338774886503,0.0,-0.0003051338774886503,99694.86845088127
2026-08-13 10:45:00,1311.2,1313.3,1311.0,1313.1,79022,1313.55,3.8987852359131385,-0.11542056634844379,0,0.0013726835964309458,-1.0,-0.0013726835964309458,1.0,-0.002072683596430946,99488.23253239479
2026-08-13 10:50:00,1313.0,1313.2,1312.6,1313.2,60600,1312.76,1.4095165277816444,0.3121637748317466,0,7.61556621735604e-05,0.0,0.0,0.0,0.0,99488.23253239479
2026-08-13 10:55:00,1313.2,1313.2,1311.1,1312.1,139028,1312.595,1.2705054940890994,-0.3896087048053366,0,-0.0008376484922327787,0.0,-0.0,0.0,-0.0,99488.23253239479
2026-08-13 11:00:00,1312.0,1312.3,1311.0,1311.2,94008,1312.5049999999999,1.3036285392723226,-1.0010520333716222,0,-0.000685923329014404,0.0,-0.0,0.0,-0.0,99488.23253239479
2026-08-13 11:05:00,1311.1,1312.3,1310.8,1312.0,79172,1312.55,1.2676127583956347,-0.4338864502248044,0,0.0006101281269066394,0.0,0.0,0.0,0.0,99488.23253239479
2026-08-13 11:10:00,1312.1,1312.2,1310.8,1311.1,39860,1312.575,1.231548020298041,-1.1976796484502317,0,-0.0006859756097561398,0.0,-0.0,0.0,-0.0,99488.23253239479
2026-08-13 11:15:00,1311.2,1312.5,1311.2,1312.1,29714,1312.585,1.2265806129171637,-0.39540817365982733,0,0.000762718328121359,0.0,0.0,0.0,0.0,99488.23253239479
2026-08-13 11:20:00,1312.0,1312.1,1310.8,1310.9,65885,1312.5,1.283088379441551,-1.24699126391924,0,-0.000914564438685983,0.0,-0.0,0.0,-0.0,99488.23253239479
2026-08-13 11:25:00,1310.8,1311.6,1310.8,1310.8,61130,1312.315,1.2457401097488037,-1.2161445137265356,0,-7.62834693722736e-05,0.0,-0.0,0.0,-0.0,99488.23253239479
2026-08-13 11:30:00,1310.8,1310.8,1308.7,1309.0,159568,1312.045,1.35081846533874,-2.254188907046432,1,-0.0013732072017088592,0.0,-0.0,1.0,-0.0007,99418.59076962211
